reporter_iso3,partner_iso3,product_group,year,indicator,value,unit,source_url,retrieved_utc
usa,idn,28-38_Chemicals,2018,MPRT-TRD-VL,334141.543,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,mys,28-38_Chemicals,2018,MPRT-TRD-VL,412743.088,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,bra,28-38_Chemicals,2018,MPRT-TRD-VL,2033697.092,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,can,28-38_Chemicals,2018,MPRT-TRD-VL,19180442.446,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,sgp,28-38_Chemicals,2018,MPRT-TRD-VL,8468411.091,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,che,28-38_Chemicals,2018,MPRT-TRD-VL,19111811.106,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,gbr,28-38_Chemicals,2018,MPRT-TRD-VL,9882630.307,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,phl,28-38_Chemicals,2018,MPRT-TRD-VL,100706.251,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,wld,28-38_Chemicals,2018,MPRT-TRD-VL,233750191.065,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:20:00Z
usa,chn,72-83_Metals,2018,MPRT-TRD-VL,29896194.214,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,ind,72-83_Metals,2018,MPRT-TRD-VL,3114923.09,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
