iso3,indicator_code,indicator_name,year,value,source_url,retrieved_utc
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2021,2.25,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2022,2.59,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2023,2.75,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2024,2.87,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2015,1.72,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2016,1.72,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2017,1.8,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2018,1.86,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2019,1.84,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2020,1.68,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2021,1.84,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IND,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2022,1.97,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
